2025-07-19 12:45:18,285 - __main__ - INFO - Starting PDF Outline Extractor
2025-07-19 12:45:18,286 - __main__ - INFO - Found 1 PDF files to process.
2025-07-19 12:45:18,287 - __main__ - INFO - Processing file: sample.pdf
2025-07-19 12:45:18,287 - extractor.pdf_parser - DEBUG - Starting to parse PDF: C:\Users\shrav\Downloads\project-bolt-sb1-uu5dcyx9\project\input\sample.pdf
2025-07-19 12:45:18,290 - extractor.pdf_parser - DEBUG - PDF has 17 pages
2025-07-19 12:45:18,437 - pdfminer.psparser - DEBUG - seek: 0
2025-07-19 12:45:18,438 - pdfminer.pdfdocument - DEBUG - find_xref: b''
2025-07-19 12:45:18,438 - pdfminer.pdfdocument - DEBUG - find_xref: b'%%EOF'
2025-07-19 12:45:18,440 - pdfminer.pdfdocument - DEBUG - find_xref: b'5179464'
2025-07-19 12:45:18,440 - pdfminer.pdfdocument - DEBUG - find_xref: b'startxref'
2025-07-19 12:45:18,532 - pdfminer.psparser - DEBUG - nextline: 5181495, b'0001708434 00000 n \n'
2025-07-19 12:45:18,533 - pdfminer.psparser - DEBUG - nextline: 5181515, b'0001699408 00000 n \n'
2025-07-19 12:45:18,534 - pdfminer.psparser - DEBUG - nextline: 5181535, b'0001699840 00000 n \n'
2025-07-19 12:45:18,535 - pdfminer.psparser - DEBUG - nextline: 5181555, b'0001700148 00000 n \n'
2025-07-19 12:45:18,535 - pdfminer.psparser - DEBUG - nextline: 5181575, b'0001699902 00000 n \n'
2025-07-19 12:45:18,537 - pdfminer.psparser - DEBUG - nextline: 5181595, b'0001699161 00000 n \n'
2025-07-19 12:45:18,538 - pdfminer.psparser - DEBUG - nextline: 5181615, b'0001709161 00000 n \n'
2025-07-19 12:45:18,539 - pdfminer.psparser - DEBUG - nextline: 5181635, b'0001709223 00000 n \n'
2025-07-19 12:45:18,540 - pdfminer.psparser - DEBUG - nextline: 5181655, b'0001698559 00000 n \n'
2025-07-19 12:45:18,541 - pdfminer.psparser - DEBUG - nextline: 5181675, b'0001698074 00000 n \n'
2025-07-19 12:45:18,541 - pdfminer.psparser - DEBUG - nextline: 5181695, b'0001708373 00000 n \n'
2025-07-19 12:45:18,542 - pdfminer.psparser - DEBUG - nextline: 5181715, b'0001709285 00000 n \n'
2025-07-19 12:45:18,543 - pdfminer.psparser - DEBUG - nextline: 5181735, b'0001699594 00000 n \n'
2025-07-19 12:45:18,544 - pdfminer.psparser - DEBUG - nextline: 5181755, b'0001708130 00000 n \n'
2025-07-19 12:45:18,545 - pdfminer.psparser - DEBUG - nextline: 5181775, b'0001709103 00000 n \n'
2025-07-19 12:45:18,546 - pdfminer.psparser - DEBUG - nextline: 5181795, b'0001698498 00000 n \n'
2025-07-19 12:45:18,547 - pdfminer.psparser - DEBUG - nextline: 5181815, b'0001699532 00000 n \n'
2025-07-19 12:45:18,548 - pdfminer.psparser - DEBUG - nextline: 5181835, b'0001698741 00000 n \n'
2025-07-19 12:45:18,549 - pdfminer.psparser - DEBUG - nextline: 5181855, b'0001698316 00000 n \n'
2025-07-19 12:45:18,549 - pdfminer.psparser - DEBUG - nextline: 5181875, b'0001699656 00000 n \n'
